☑️,ID,Parent ID,Уровень,Путь в иерархии,Название категории,URL,Товаров,В наличии,SEO статус,AI статус,Обновлено,Админка
false,30659697,26065675,2,Каталог > Бинокли по брендам > Бинокли Eyeskey,    └─ Бинокли Eyeskey,/collection/binokli-eyeskey,12,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/30659697
false,9171795,26065675,2,Каталог > Бинокли по брендам > Бинокли Pentax,    └─ Бинокли Pentax,/collection/binokli-pentax,51,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171795
false,9171801,9171795,1,Каталог > Бинокли по брендам > Бинокли Pentax > Бинокли Pentax AD,  └─ Бинокли Pentax AD,/collection/pentax-ad,8,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171801
false,30327275,9171795,1,Каталог > Бинокли по брендам > Бинокли Pentax > Бинокли Pentax AP,  └─ Бинокли Pentax AP,/collection/binokli-pentax-ap,2,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/30327275
false,9171805,9171795,1,Каталог > Бинокли по брендам > Бинокли Pentax > Бинокли Pentax ZD,  └─ Бинокли Pentax ZD,/collection/pentax-zd,6,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171805
false,9171804,9171795,1,Каталог > Бинокли по брендам > Бинокли Pentax > Бинокли Pentax UP,  └─ Бинокли Pentax UP,/collection/pentax-up,9,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171804
false,21924895,9171795,1,Каталог > Бинокли по брендам > Бинокли Pentax > Бинокли Pentax UD,  └─ Бинокли Pentax UD,/collection/binokli-pentax-ud,6,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21924895
false,9171806,9171795,1,Каталог > Бинокли по брендам > Бинокли Pentax > Бинокли Pentax SP,  └─ Бинокли Pentax SP,/collection/pentax-sp,8,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171806
false,30327347,9171795,1,Каталог > Бинокли по брендам > Бинокли Pentax > Бинокли Pentax SD,  └─ Бинокли Pentax SD,/collection/binokli-pentax-sd,5,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/30327347
false,21692156,9171795,1,Каталог > Бинокли по брендам > Бинокли Pentax > Бинокли Pentax Papilio,  └─ Бинокли Pentax Papilio,/collection/binokli-pentax-papilio,2,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21692156
false,30327631,9171795,1,Каталог > Бинокли по брендам > Бинокли Pentax > Бинокли Pentax Jupiter,  └─ Бинокли Pentax Jupiter,/collection/binokli-pentax-jupiter,4,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/30327631
false,20933071,26065675,2,Каталог > Бинокли по брендам > Бинокли Praktica,    └─ Бинокли Praktica,/collection/praktica,22,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/20933071
